struct,Quantity
PRON,1
PRON VERB,2
ADJ NOUN PUNCT,3
NOUN NOUN PUNCT,3
ADV ADJ PUNCT,3
VERB NOUN PUNCT,3
PROPN PROPN PUNCT,3
NUM NOUN PUNCT,3
INTJ NOUN PUNCT,3
NOUN ADJ PUNCT,3
NOUN VERB PUNCT,3
PROPN VERB PUNCT,3
ADJ PROPN PUNCT,3
PROPN NOUN PUNCT,3
ADP NOUN PUNCT,3
PRON VERB PUNCT,3
INTJ INTJ PUNCT,3
ADJ NOUN PROPN,3
NOUN ADV PUNCT,3
DET PROPN PUNCT,3
AUX VERB PUNCT,3
DET PROPN PROPN,3
DET NOUN PUNCT,3
VERB PROPN PUNCT,3
VERB PROPN PROPN,3
PRON CCONJ NOUN,3
VERB ADP NOUN,3
ADP DET PROPN,3
DET SPACE NOUN,3
ADP PROPN PUNCT,3
VERB ADV PUNCT,3
PROPN PROPN PROPN,3
ADJ ADJ PUNCT,3
PROPN VERB PROPN,3
DET NOUN PROPN,3
PRON AUX PROPN,3
NOUN AUX PUNCT,3
VERB PRON PUNCT,3
PRON NOUN PUNCT,3
CCONJ PROPN PUNCT,3
INTJ VERB PUNCT,3
NOUN PROPN PUNCT,3
VERB ADJ PUNCT,3
INTJ PROPN PUNCT,3
PROPN ADJ PUNCT,3
ADV VERB PUNCT,3
PROPN NUM PUNCT,3
VERB VERB PUNCT,3
ADV ADV PUNCT,3
VERB ADP PUNCT,3
INTJ ADV PUNCT,3
PROPN INTJ PUNCT,3
ADP PRON PUNCT,3
ADV PROPN PROPN,3
PRON VERB PRON,3
SCONJ AUX PRON,3
PRON DET NOUN,3
VERB PRON ADV,3
AUX PRON VERB,3
NOUN ADP PRON,3
PRON VERB NOUN,3
PRON AUX PRON VERB,4
PRON ADV VERB NOUN,4
PRON AUX PART VERB,4
PRON AUX VERB NOUN,4
NOUN VERB PRON ADP NOUN,5
NOUN VERB ADP DET NOUN,5
PRON AUX PART VERB NOUN,5
PRON VERB DET NOUN ADP NOUN,6
PRON AUX PART VERB VERB NOUN,6
